CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
17.655.102/0001-48;2024-01-01;1;2024-02-15;PESCARA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-10-22;INVESTIDOR QUALIFICADO;BRPCIVCTF001;100.8838;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br
17.655.102/0001-48;2024-02-01;1;2024-03-13;PESCARA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-10-22;INVESTIDOR QUALIFICADO;BRPCIVCTF001;100.8838;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
17.655.102/0001-48;2024-03-01;1;2024-04-15;PESCARA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-10-22;INVESTIDOR QUALIFICADO;BRPCIVCTF001;100.9032;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
17.655.115/0001-17;2024-01-01;1;2024-02-15;SAFIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-05-21;INVESTIDOR QUALIFICADO;;153733.6309;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br
17.655.115/0001-17;2024-02-01;1;2024-03-13;SAFIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-05-21;INVESTIDOR QUALIFICADO;;153733.6309;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
17.655.115/0001-17;2024-03-01;1;2024-04-15;SAFIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-05-21;INVESTIDOR QUALIFICADO;;153733.6309;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
17.655.122/0001-19;2024-01-01;1;2024-02-14;VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRO - FII;2013-02-14;INVESTIDOR QUALIFICADO;BR0EMMCTF007;16.80259128;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
17.655.122/0001-19;2024-02-01;1;2024-03-15;VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRO - FII;2013-02-14;INVESTIDOR QUALIFICADO;BR0EMMCTF007;16.80259128;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
17.655.122/0001-19;2024-03-01;1;2024-04-15;VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRO - FII;2013-02-14;INVESTIDOR QUALIFICADO;BR0EMMCTF007;16.80259128;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
17.786.606/0001-05;2024-01-01;1;2024-02-09;NF CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-04-17;INVESTIDOR PROFISSIONAL;BRGBXRCTF009;18848.02189804;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;FINAXIS CORRETORA;03317692000194;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;atendimento@finaxis.com.br
17.786.606/0001-05;2024-02-01;1;2024-03-11;NF CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-04-17;INVESTIDOR PROFISSIONAL;BRGBXRCTF009;18848.02189804;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;FINAXIS CORRETORA;03317692000194;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;atendimento@finaxis.com.br
17.786.606/0001-05;2024-03-01;1;2024-04-10;NF CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-04-17;INVESTIDOR PROFISSIONAL;BRGBXRCTF009;18848.02189804;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;FINAXIS CORRETORA;03317692000194;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;atendimento@finaxis.com.br
17.854.016/0001-64;2024-01-01;1;2024-02-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA - FII;2014-07-01;INVESTIDORES EM GERAL;BRFIVNCTF009;9412630;N;N;Renda;Shoppings;Passiva;Indeterminado;;30/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.854.016/0001-64;2024-02-01;1;2024-03-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA - FII;2014-07-01;INVESTIDORES EM GERAL;BRFIVNCTF009;9412630;N;N;Renda;Shoppings;Passiva;Indeterminado;;30/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.854.016/0001-64;2024-03-01;1;2024-04-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA - FII;2014-07-01;INVESTIDORES EM GERAL;BRFIVNCTF009;9412630;N;N;Renda;Shoppings;Passiva;Indeterminado;;30/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.870.926/0001-30;2024-01-01;1;2024-02-07;VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO;2018-07-13;INVESTIDORES EM GERAL;BRVOTSCTF007;827913;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;S;N;S;S;TIVIO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;03384738000198;Avenida das Nações Unidas;14171;torre A - 12º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;bancobv.com.br;RI-VAM@bv.com.br
17.870.926/0001-30;2024-02-01;1;2024-03-06;VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO;2018-07-13;INVESTIDORES EM GERAL;BRVOTSCTF007;827913;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;S;N;S;S;TIVIO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;03384738000198;Avenida das Nações Unidas;14171;torre A - 12º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;bancobv.com.br;RI-VAM@bv.com.br
17.870.926/0001-30;2024-03-01;1;2024-04-05;VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO;2018-07-13;INVESTIDORES EM GERAL;BRVOTSCTF007;827913;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;S;N;S;S;TIVIO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;03384738000198;Avenida das Nações Unidas;14171;torre A - 12º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;bancobv.com.br;RI-VAM@bv.com.br
18.085.673/0001-57;2024-01-01;1;2024-02-15;NCH BRASIL RECEB FII;2013-10-10;INVESTIDORES EM GERAL;BRNCHBCTF000;15281388;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.085.673/0001-57;2024-02-01;1;2024-03-15;NCH BRASIL RECEB FII;2013-10-10;INVESTIDORES EM GERAL;BRNCHBCTF000;15281388;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.085.673/0001-57;2024-03-01;1;2024-04-15;NCH BRASIL RECEB FII;2013-10-10;INVESTIDORES EM GERAL;BRNCHBCTF000;15281388;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.259.637/0001-62;2024-01-01;1;2024-02-15;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2020-06-12;INVESTIDOR QUALIFICADO;BRETPPCTF006;185.8;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo;501;Torre Corcovado, 5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21) 3262-9600;;;https://www.btgpactual.com/;ol-monitoramento-afs@btgpactual.com
18.259.637/0001-62;2024-02-01;2;2024-03-20;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2020-06-12;INVESTIDOR QUALIFICADO;BRETPPCTF006;185.8;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo;501;Torre Corcovado, 5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21) 3262-9600;;;https://www.btgpactual.com/;ol-monitoramento-afs@btgpactual.com
18.259.637/0001-62;2024-03-01;1;2024-04-14;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2020-06-12;INVESTIDOR QUALIFICADO;BRETPPCTF006;185.8;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo;501;Torre Corcovado, 5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21) 3262-9600;;;https://www.btgpactual.com/;ol-monitoramento-afs@btgpactual.com
18.265.829/0001-81;2024-01-01;1;2024-02-15;YAGO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2014-04-28;INVESTIDOR QUALIFICADO;;1030.7418;N;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br
18.265.829/0001-81;2024-02-01;1;2024-03-13;YAGO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2014-04-28;INVESTIDOR QUALIFICADO;;1030.7418;N;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
18.265.829/0001-81;2024-03-01;1;2024-04-15;YAGO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2014-04-28;INVESTIDOR QUALIFICADO;;1030.7418;N;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
18.289.950/0001-43;2024-01-01;1;2024-02-09;BIRD FII - FII;2022-09-26;INVESTIDORES EM GERAL;BRBRDFCTF003;62623089.9565228;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.289.950/0001-43;2024-02-01;1;2024-03-15;BIRD FII - FII;2022-09-26;INVESTIDORES EM GERAL;BRBRDFCTF003;62623089.9565228;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.289.950/0001-43;2024-03-01;1;2024-04-12;BIRD FII - FII;2022-09-26;INVESTIDOR PROFISSIONAL;BRBRDFCTF003;62623089.9565228;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.307.582/0001-19;2024-01-01;1;2024-02-14;HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-07-08;INVESTIDORES EM GERAL;BRHFOFCTF002;23044389;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
18.307.582/0001-19;2024-02-01;1;2024-03-15;HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-07-08;INVESTIDORES EM GERAL;BRHFOFCTF002;23044389;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
18.307.582/0001-19;2024-03-01;1;2024-04-16;HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-07-08;INVESTIDORES EM GERAL;BRHFOFCTF002;23044389;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
18.308.516/0001-63;2024-01-01;1;2024-02-15;BTG HOTEIS FII;2016-04-19;INVESTIDORES EM GERAL;;9218512;N;N;Híbrido;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.308.516/0001-63;2024-02-01;1;2024-03-15;BTG HOTEIS FII;2016-04-19;INVESTIDORES EM GERAL;;9218512;N;N;Híbrido;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.308.516/0001-63;2024-03-01;1;2024-04-15;BTG HOTEIS FII;2016-04-19;INVESTIDORES EM GERAL;;9218512;N;N;Híbrido;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.311.024/0001-27;2024-01-01;1;2024-02-09;SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-08-12;INVESTIDOR QUALIFICADO;BRSPAFCTF007;11270;N;N;Desenvolvimento para Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9 andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
18.311.024/0001-27;2024-02-01;1;2024-03-14;SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-08-12;INVESTIDOR QUALIFICADO;BRSPAFCTF007;11270;N;N;Desenvolvimento para Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9 andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
18.311.024/0001-27;2024-03-01;1;2024-04-11;SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-08-12;INVESTIDOR QUALIFICADO;BRSPAFCTF007;11270;N;N;Desenvolvimento para Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9 andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
18.312.285/0001-61;2024-01-01;1;2024-02-15;PRIME OFFICES I FII;2017-09-21;INVESTIDOR QUALIFICADO;BREZTBCTF005;231845443;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.312.285/0001-61;2024-02-01;1;2024-03-15;PRIME OFFICES I FII;2017-09-21;INVESTIDOR QUALIFICADO;BREZTBCTF005;231845443;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.312.285/0001-61;2024-03-01;1;2024-04-15;PRIME OFFICES I FII;2017-09-21;INVESTIDOR QUALIFICADO;BREZTBCTF005;231845443;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
18.330.535/0001-96;2024-01-01;1;2024-02-09;PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII;2013-09-23;INVESTIDOR QUALIFICADO;BRRBCACTF006;474468.0348389;S;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;S;N;N;S;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.330.535/0001-96;2024-02-01;1;2024-03-15;PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII;2013-09-23;INVESTIDOR QUALIFICADO;BRRBCACTF006;474468.0348389;S;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;S;N;N;S;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.330.535/0001-96;2024-03-01;1;2024-04-12;PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII;2013-09-23;INVESTIDOR QUALIFICADO;BRRBCACTF006;474468.0348389;S;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;S;N;N;S;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
18.369.510/0001-04;2024-01-01;1;2024-02-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;2013-10-04;INVESTIDOR QUALIFICADO;BRFINFCTF002;820112.7613235;N;N;Desenvolvimento para Venda;Logística;Ativa;Indeterminado;;30/06;S;S;N;S;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
18.369.510/0001-04;2024-02-01;1;2024-03-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;2013-10-04;INVESTIDOR QUALIFICADO;BRFINFCTF002;820112.7613235;N;N;Desenvolvimento para Venda;Logística;Ativa;Indeterminado;;30/06;S;S;N;S;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
18.369.510/0001-04;2024-03-01;1;2024-04-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;2013-10-04;INVESTIDOR QUALIFICADO;BRFINFCTF002;820112.7613235;N;N;Desenvolvimento para Venda;Logística;Ativa;Indeterminado;;30/06;S;S;N;S;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
18.497.672/0001-10;2024-01-01;3;2024-05-02;12579.22;2014-05-08;INVESTIDOR QUALIFICADO;;65361974.8481821;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/12;N;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
18.497.672/0001-10;2024-02-01;3;2024-05-02;12579.22;2014-05-08;INVESTIDOR QUALIFICADO;;65361974.8481821;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/12;N;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
18.497.672/0001-10;2024-03-01;2;2024-05-02;12579.22;2014-05-08;INVESTIDOR QUALIFICADO;;65361974.8481821;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/12;N;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
18.647.268/0001-85;2024-01-01;1;2024-02-15;CAM VERA CRUZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2021-04-01;INVESTIDOR QUALIFICADO;BR0256CTF000;24720;N;N;Títulos e Valores Mobiliários;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;62285390000140;AVENIDA BRIGADEIRO FARIA LIMA;1355;15 ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;01452-919;(11) 2827-3500;;;www.singulare.com.br;fii.adm@singulare.com.br
