SETOR ECONÔMICO;SUBSETOR;SEGMENTO;LISTAGEM;SM
Financeiro;Intermediários Financeiros;Bancos;;
Financeiro;Intermediários Financeiros;ABC BRASIL  ;ABCB;N2             
Financeiro;Intermediários Financeiros;ALFA HOLDING;RPAD;
Financeiro;Intermediários Financeiros;AMAZONIA    ;BAZA;
Financeiro;Intermediários Financeiros;BANCO BMG;BMGB;N1             
Financeiro;Intermediários Financeiros;BANCO PAN;BPAN;N1             
Financeiro;Intermediários Financeiros;BANESE      ;BGIP;
Financeiro;Intermediários Financeiros;BANESTES    ;BEES;
Financeiro;Intermediários Financeiros;BANPARA     ;BPAR;
Financeiro;Intermediários Financeiros;BANRISUL    ;BRSR;N1             
Financeiro;Intermediários Financeiros;BR PARTNERS;BRBI;N2             
Financeiro;Intermediários Financeiros;BRADESCO    ;BBDC;N1             
Financeiro;Intermediários Financeiros;BRASIL      ;BBAS;NM             
Financeiro;Intermediários Financeiros;BRB BANCO   ;BSLI;
Financeiro;Intermediários Financeiros;BTGP BANCO;BPAC;N2             
Financeiro;Intermediários Financeiros;INTER CO;INBR;DR2
Financeiro;Intermediários Financeiros;ITAUUNIBANCO;ITUB;N1             
Financeiro;Intermediários Financeiros;MERCANTIL;BMEB;N1             
Financeiro;Intermediários Financeiros;MERC INVEST ;BMIN;
Financeiro;Intermediários Financeiros;NORD BRASIL ;BNBR;
Financeiro;Intermediários Financeiros;PINE        ;PINE;N2             
Financeiro;Intermediários Financeiros;SANTANDER BR;SANB;
Financeiro;Intermediários Financeiros;Soc. Crédito e Financiamento;;
Financeiro;Intermediários Financeiros;DMFINANCEIRA;DMFN;
Financeiro;Intermediários Financeiros;MERC FINANC ;MERC;
Financeiro;Intermediários Financeiros;Soc. Arrendamento Mercantil;;
Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;;
Financeiro;Securitizadoras de Recebíveis;BRAZILIAN SC;BSCS;
Financeiro;Securitizadoras de Recebíveis;OPEA;RBRA;
Financeiro;Securitizadoras de Recebíveis;POLO CAP SEC;PLSC;
Financeiro;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos;;
Financeiro;Serviços Financeiros Diversos;G2D INVEST;G2DI;DR3
Financeiro;Serviços Financeiros Diversos;GP INVEST   ;GPIV;DR3
Financeiro;Serviços Financeiros Diversos;PPLA;PPLA;DR3
Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos;;
Financeiro;Serviços Financeiros Diversos;B3 ;B3SA;NM             
Financeiro;Serviços Financeiros Diversos;CIELO       ;CIEL;NM             
Financeiro;Serviços Financeiros Diversos;CLEARSALE;CLSA;NM             
Financeiro;Serviços Financeiros Diversos;CSU DIGITAL;CSUD;NM             
Financeiro;Serviços Financeiros Diversos;EQUIFAXBRL;EFXB;DR1
Financeiro;Serviços Financeiros Diversos;EVERTEC INC;EVTC;DR1
Financeiro;Serviços Financeiros Diversos;STONE CO;STOC;DR1
Financeiro;Serviços Financeiros Diversos;XP INC;XPBR;DR1
Financeiro;Previdência e Seguros;Seguradoras;;
Financeiro;Previdência e Seguros;BBSEGURIDADE;BBSE;NM             
Financeiro;Previdência e Seguros;CAIXA SEGURI;CXSE;NM             
Financeiro;Previdência e Seguros;PORTO SEGURO;PSSA;NM             
Financeiro;Previdência e Seguros;Resseguradoras;;
Financeiro;Previdência e Seguros;IRBBRASIL RE;IRBR;NM             
Financeiro;Previdência e Seguros;Corretoras de Seguros e Resseguros;;
Financeiro;Previdência e Seguros;ALPER S.A.;APER;
Financeiro;Previdência e Seguros;WIZ CO;WIZC;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;;
Financeiro;Exploração de Imóveis;ALLOS;ALOS;NM             
Financeiro;Exploração de Imóveis;GENERALSHOPP;GSHP;
Financeiro;Exploração de Imóveis;HABITASUL   ;HBTS;
Financeiro;Exploração de Imóveis;HBR REALTY;HBRE;NM             
Financeiro;Exploração de Imóveis;IGUATEMI S.A;IGTI;N1             
Financeiro;Exploração de Imóveis;LOG COM PROP;LOGG;NM             
Financeiro;Exploração de Imóveis;MENEZES CORT;MNZC;
Financeiro;Exploração de Imóveis;MULTIPLAN   ;MULT;N2             
Financeiro;Exploração de Imóveis;PAR AL BAHIA;PEAB;
Financeiro;Exploração de Imóveis;SAO CARLOS  ;SCAR;NM             
Financeiro;Exploração de Imóveis;SYN PROP TEC;SYNE;NM             
Financeiro;Exploração de Imóveis;Intermediação Imobiliária;;
Financeiro;Exploração de Imóveis;LOPES BRASIL;LPSB;NM             
Financeiro;Exploração de Imóveis;NEXPE;NEXP;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;;
Financeiro;Holdings Diversificadas;ITAUSA      ;ITSA;N1             
Financeiro;Holdings Diversificadas;MONT ARANHA ;MOAR;
Financeiro;Holdings Diversificadas;SIMPAR;SIMH;NM             
Financeiro;Outros Títulos;Outros Títulos;;
Financeiro;Outros Títulos;CEPAC - CTBA;CTBA;MB             
Financeiro;Outros Títulos;CEPAC - MCRJ;MCRJ;MB             
Financeiro;Outros Títulos;CEPAC - PMSP;PMSP;MB             
Outros;Outros;Outros;;
Outros;Outros;524 PARTICIP;QVQP;
Outros;Outros;ATOMPAR;ATOM;
Outros;Outros;BETAPART    ;BETP;
Outros;Outros;CEMEPE      ;MAPT;
Outros;Outros;CIMS        ;CMSA;
Outros;Outros;GAMA PART   ;OPGM;
Outros;Outros;INVEST BEMGE;FIGE;
Outros;Outros;POLPAR      ;PPAR;
Outros;Outros;PROMPT PART ;PRPT;
Outros;Outros;SUDESTE S/A ;OPSE;
Outros;Outros;SUL 116 PART;OPTS;
Outros;Outros;YBYRA S/A;YBRA;
